Titre,Localisation,Prix,Nombre_chambre,Nombre_douches,Surface_habitable,Type,Secteur,Salons,Étage,Âge_du_bien,link
Appartement 127m2 à Les Princesses Casablanca,Casablanca,21600000.0,3,2,112.0,Vendre,Maarif,2,3,6-10 ans,https://www.avito.ma/fr/maarif/appartements/Appartement_127m2_%C3%A0_Les_Princesses_Casablanca__50660949.htm
Appartement à vendre 98 m² à Had Soualem,Had Soualem,450000.0,3,1,98.0,Vendre,Toute la ville,1,3,11-20 ans,https://www.avito.ma/fr/had_soualem/appartements/Appartement_%C3%A0_vendre_98_m%C2%B2_%C3%A0_Had_Soualem_55539434.htm
Appartement 84m2 entre Mc Donald et Marjane,Marrakech,840000.0,2,1,84.0,Vendre,Av Abdelkrim El Khattabi,0,2,-1 ans,https://www.avito.ma/fr/av_abdelkrim_el_khattabi/appartements/Appartement_84m2_entre_Mc_Donald_et_Marjane_55696610.htm
Appartement à vendre 67 m² à Saidia,Saidia,380000.0,2,2,67.0,Vendre,Toute la ville,1,1,6-10 ans,https://www.avito.ma/fr/saidia/appartements/Appartement_%C3%A0_vendre_67_m%C2%B2_%C3%A0_Saidia_53399117.htm
appartement,Casablanca,260000.0,2,1,52.0,Vendre,Lissasfa,1,4,6-10 ans,https://www.avito.ma/fr/lissasfa/appartements/appartement__55737984.htm
appartement a vendre,Marrakech,420000.0,2,1,55.0,Vendre,Es Saada,1,5,11-20 ans,https://www.avito.ma/fr/es_saada/appartements/appartement_a_vendre__55733916.htm
Appartement a vendre levalon 80m² 2 Façade,Kénitra,565000.0,2,2,75.0,Vendre,Autre secteur,0,1,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_a_vendre_levalon_80m%C2%B2_2_Fa%C3%A7ade__52469179.htm
appartement sur plan a vendre,Benslimane,240000.0,2,1,85.0,Vendre,Autre secteur,1,2,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/appartement_sur_plan_a_vendre__55306055.htm
Appartement économique à vendre,Salé,190000.0,2,1,55.0,Vendre,Toute la ville,1,2,-1 ans,https://www.avito.ma/fr/sal%C3%A9/appartements/Appartement_%C3%A9conomique_%C3%A0_vendre__54265071.htm
jolie appartement a vendre,Casablanca,1350000.0,3,2,105.0,Vendre,Oulfa,1,3,6-10 ans,https://www.avito.ma/fr/oulfa/appartements/jolie_appartement_a_vendre__53697811.htm
Appartement 120m2 à hay Charaf,Marrakech,750000.0,3,1,120.0,Vendre,Hay Charaf,2,1,-1 ans,https://www.avito.ma/fr/hay_charaf/appartements/Appartement_120m2_%C3%A0_hay_Charaf_55721580.htm
Appartement f marss lkhir,Temara,690000.0,2,1,88.0,Vendre,Autre secteur,1,2,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_f_marss_lkhir_55737970.htm
2 appartements 51m² et 48m² à vendre à Salé,Salé,830000.0,2,1,51.0,Vendre,Abouab Sala,1,2,6-10 ans,https://www.avito.ma/fr/abouab_sala/appartements/2_appartements_51m%C2%B2_et_48m%C2%B2_%C3%A0_vendre_%C3%A0_Sal%C3%A9_54444930.htm
appartement 3 ème étage,El Jadida,7500.0,2,1,67.0,Vendre,Najd,1,3,1-5 ans,https://www.avito.ma/fr/najd/appartements/appartement_3_%C3%A8me_%C3%A9tage__55737917.htm
Appartement à vendre 140 m² à Martil,Martil,750000.0,2,1,140.0,Vendre,Toute la ville,1,3,6-10 ans,https://www.avito.ma/fr/martil/appartements/Appartement_%C3%A0_vendre_140_m%C2%B2_%C3%A0_Martil_55733273.htm
Appartement à vendre 64 m² à Sidi Rahal,Sidi Rahal,430000.0,2,1,64.0,Vendre,Toute la ville,1,1,1-5 ans,https://www.avito.ma/fr/sidi_rahal/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Sidi_Rahal_55737909.htm
petite appartement près de marjan derbsoultan,Casablanca,540000.0,1,1,52.0,Vendre,Al Fida,1,2,11-20 ans,https://www.avito.ma/fr/al_fida/appartements/petite_appartement_pr%C3%A8s_de_marjan_derbsoultan__55711161.htm
Appartement à moyen standing Noor City,Casablanca,830000.0,2,1,63.0,Vendre,Sidi Moumen,1,3,1-5 ans,https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_moyen_standing_Noor_City_55680674.htm
Appartement à vendre 91 m² à CFC Casablanca,Casablanca,830000.0,2,2,91.0,Vendre,Casablanca Finance City,1,1,1-5 ans,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_%C3%A0_vendre_91_m%C2%B2_%C3%A0_CFC_Casablanca_55617101.htm
Appartement à vendre 100 m² à Taza,Taza,830000.0,2,1,100.0,Vendre,Toute la ville,2,3,-1 ans,https://www.avito.ma/fr/taza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Taza_55678132.htm
Appartement Moderne à Maarif Parfait pour Familles,Casablanca,1800000.0,3,2,146.0,Vendre,Maarif,1,2,1-5 ans,https://www.avito.ma/fr/maarif/appartements/Appartement_Moderne_%C3%A0_Maarif_Parfait_pour_Familles_55356106.htm
appartement à vendre,Casablanca,900000.0,2,2,120.0,Vendre,Sidi Moumen,2,1,11-20 ans,https://www.avito.ma/fr/sidi_moumen/appartements/appartement_%C3%A0_vendre__55737855.htm
Appartement à vendre 76 m² à Taza,Taza,830000.0,2,1,76.0,Vendre,Toute la ville,1,1,-1 ans,https://www.avito.ma/fr/taza/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_Taza_55737854.htm
Appartement à vendre 100 m² à Taza,Taza,830000.0,2,2,100.0,Vendre,Toute la ville,2,4,-1 ans,https://www.avito.ma/fr/taza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Taza_55678101.htm
Appartement à vendre 130 m² à Rabat,Rabat,2200000.0,3,3,130.0,Vendre,Hay Al Farah,2,1,6-10 ans,https://www.avito.ma/fr/hay_al_farah/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_Rabat_49854899.htm
Appartement 80 m² à Agadir,Agadir,640000.0,3,2,80.0,Vendre,Abattoirs,1,3,-1 ans,https://www.avito.ma/fr/abattoirs/appartements/Appartement_80_m%C2%B2_%C3%A0_Agadir_54259104.htm
Appartement 97 m² à Mohammedia,Mohammedia,890000.0,2,2,97.0,Vendre,Wafa,2,3,11-20 ans,https://www.avito.ma/fr/wafa/appartements/Appartement_97_m%C2%B2_%C3%A0_Mohammedia_55726657.htm
Appartement à vendre 56 m² à Marrakech,Marrakech,300000.0,2,1,56.0,Vendre,M'Hamid,1,4,1-5 ans,https://www.avito.ma/fr/m'hamid/appartements/Appartement_%C3%A0_vendre_56_m%C2%B2_%C3%A0_Marrakech_55715127.htm
Appartement 127m² Gauthier,Casablanca,2220000.0,3,2,127.0,Vendre,Gauthier,3,5,11-20 ans,https://www.avito.ma/fr/gauthier/appartements/Appartement_127m%C2%B2_Gauthier__48156341.htm
magnifique appartement à vendre,Casablanca,830000.0,2,2,72.0,Vendre,Ain Sebaa,1,1,1-5 ans,https://www.avito.ma/fr/ain_sebaa/appartements/magnifique_appartement_%C3%A0_vendre__55561709.htm
Vente Appartement façade à Maghreb Arabi KENITRA,Kénitra,595000.0,2,1,75.0,Vendre,Al Maghrib Al Arabi,1,3,6-10 ans,https://www.avito.ma/fr/al_maghrib_al_arabi/appartements/Vente_Appartement_fa%C3%A7ade_%C3%A0_Maghreb_Arabi_KENITRA__55644295.htm
Appartement à vendre 64 m² à Sidi Rahal,Sidi Rahal,430000.0,2,1,64.0,Vendre,Toute la ville,1,1,1-5 ans,https://www.avito.ma/fr/sidi_rahal/appartements/Appartement_%C3%A0_vendre_64_m%C2%B2_%C3%A0_Sidi_Rahal_55737909.htm
petite appartement près de marjan derbsoultan,Casablanca,540000.0,1,1,52.0,Vendre,Al Fida,1,2,11-20 ans,https://www.avito.ma/fr/al_fida/appartements/petite_appartement_pr%C3%A8s_de_marjan_derbsoultan__55711161.htm
Appartement à moyen standing Noor City,Casablanca,830000.0,2,1,63.0,Vendre,Sidi Moumen,1,3,1-5 ans,https://www.avito.ma/fr/sidi_moumen/appartements/Appartement_%C3%A0_moyen_standing_Noor_City_55680674.htm
Appartement à vendre 91 m² à CFC Casablanca,Casablanca,830000.0,2,2,91.0,Vendre,Casablanca Finance City,1,1,1-5 ans,https://www.avito.ma/fr/casablanca_finance_city/appartements/Appartement_%C3%A0_vendre_91_m%C2%B2_%C3%A0_CFC_Casablanca_55617101.htm
Appartement à vendre 100 m² à Taza,Taza,830000.0,2,1,100.0,Vendre,Toute la ville,2,3,-1 ans,https://www.avito.ma/fr/taza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Taza_55678132.htm
Appartement Moderne à Maarif Parfait pour Familles,Casablanca,1800000.0,3,2,146.0,Vendre,Maarif,1,2,1-5 ans,https://www.avito.ma/fr/maarif/appartements/Appartement_Moderne_%C3%A0_Maarif_Parfait_pour_Familles_55356106.htm
appartement à vendre,Casablanca,900000.0,2,2,120.0,Vendre,Sidi Moumen,2,1,11-20 ans,https://www.avito.ma/fr/sidi_moumen/appartements/appartement_%C3%A0_vendre__55737855.htm
Appartement à vendre 76 m² à Taza,Taza,830000.0,2,1,76.0,Vendre,Toute la ville,1,1,-1 ans,https://www.avito.ma/fr/taza/appartements/Appartement_%C3%A0_vendre_76_m%C2%B2_%C3%A0_Taza_55737854.htm
Appartement à vendre 100 m² à Taza,Taza,830000.0,2,2,100.0,Vendre,Toute la ville,2,4,-1 ans,https://www.avito.ma/fr/taza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Taza_55678101.htm
Appartement à vendre 130 m² à Rabat,Rabat,2200000.0,3,3,130.0,Vendre,Hay Al Farah,2,1,6-10 ans,https://www.avito.ma/fr/hay_al_farah/appartements/Appartement_%C3%A0_vendre_130_m%C2%B2_%C3%A0_Rabat_49854899.htm
Appartement 80 m² à Agadir,Agadir,640000.0,3,2,80.0,Vendre,Abattoirs,1,3,-1 ans,https://www.avito.ma/fr/abattoirs/appartements/Appartement_80_m%C2%B2_%C3%A0_Agadir_54259104.htm
Appartement 97 m² à Mohammedia,Mohammedia,890000.0,2,2,97.0,Vendre,Wafa,2,3,11-20 ans,https://www.avito.ma/fr/wafa/appartements/Appartement_97_m%C2%B2_%C3%A0_Mohammedia_55726657.htm
Appartement à vendre 56 m² à Marrakech,Marrakech,300000.0,2,1,56.0,Vendre,M'Hamid,1,4,1-5 ans,https://www.avito.ma/fr/m'hamid/appartements/Appartement_%C3%A0_vendre_56_m%C2%B2_%C3%A0_Marrakech_55715127.htm
Appartement 127m² Gauthier,Casablanca,2220000.0,3,2,127.0,Vendre,Gauthier,3,5,11-20 ans,https://www.avito.ma/fr/gauthier/appartements/Appartement_127m%C2%B2_Gauthier__48156341.htm
magnifique appartement à vendre,Casablanca,830000.0,2,2,72.0,Vendre,Ain Sebaa,1,1,1-5 ans,https://www.avito.ma/fr/ain_sebaa/appartements/magnifique_appartement_%C3%A0_vendre__55561709.htm
Vente Appartement façade à Maghreb Arabi KENITRA,Kénitra,595000.0,2,1,75.0,Vendre,Al Maghrib Al Arabi,1,3,6-10 ans,https://www.avito.ma/fr/al_maghrib_al_arabi/appartements/Vente_Appartement_fa%C3%A7ade_%C3%A0_Maghreb_Arabi_KENITRA__55644295.htm
Appartement à vendre 65 m² à Casablanca,Casablanca,2500.0,3,2,65.0,Vendre,Errahma,1,0,1-5 ans,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_Casablanca_55737676.htm
appartement à vendre salé Tabriquet,Salé,7400000.0,2,2,82.0,Vendre,Tabriquet,1,4,21+ ans,https://www.avito.ma/fr/tabriquet/appartements/appartement_%C3%A0_vendre_sal%C3%A9_Tabriquet__55682638.htm
Bel Appartement à Bouznika,Bouznika,420000.0,2,2,60.0,Vendre,Autre secteur,1,2,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Bel_Appartement_%C3%A0_Bouznika_55653535.htm
CMN-AC-1599 - Appartement à vendre à Californie,Casablanca,1250000.0,2,2,88.0,Vendre,Californie,0,1,-1 ans,https://www.avito.ma/fr/californie/appartements/CMN_AC_1599___Appartement_%C3%A0_vendre_%C3%A0_Californie_55180275.htm
"Souissi, Rabat Square Eagle Hills Appart à Vendre",Rabat,3220000.0,2,3,124.0,Vendre,Souissi,1,4,21+ ans,https://www.avito.ma/fr/souissi/appartements/Souissi__Rabat_Square_Eagle_Hills_Appart_%C3%A0_Vendre_55698916.htm
Appartement à vendre 80 m² à Agadir,Agadir,640000.0,3,2,80.0,Vendre,Abattoirs,1,1,-1 ans,https://www.avito.ma/fr/abattoirs/appartements/Appartement_%C3%A0_vendre_80_m%C2%B2_%C3%A0_Agadir_53634704.htm
Appartement 123m Sans Vis à vis A France Ville,Casablanca,1780000.0,3,2,123.0,Vendre,Franceville,1,4,6-10 ans,https://www.avito.ma/fr/franceville/appartements/Appartement_123m_Sans_Vis_%C3%A0_vis_A_France_Ville_55465967.htm
appartement à ne pas rater,Marrakech,700000.0,2,2,63.0,Vendre,Mabrouka,1,1,1-5 ans,https://www.avito.ma/fr/mabrouka/appartements/appartement_%C3%A0_ne_pas_rater_54429115.htm
Appartement à vendre 50 m² Casaport,Casablanca,1300000.0,1,1,50.0,Vendre,Sidi Belyout,1,2,1-5 ans,https://www.avito.ma/fr/sidi_belyout/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_Casaport_55737628.htm
Appartement de standing bd ibnou tachfine,Urgent,950000.0,2,1,101.0,Vendre,Aïn Borja,2,2,-1 ans,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_de_standing_bd_ibnou_tachfine_54727876.htm
Appartement 67 m² à Tanger,Tanger,830000.0,1,2,67.0,Vendre,manar,1,2,-1 ans,https://www.avito.ma/fr/manar/appartements/Appartement_67_m%C2%B2_%C3%A0_Tanger_53961997.htm
Appartement à vendre 144 m² à Tanger,Tanger,11000.0,3,2,144.0,Vendre,Autre secteur,1,3,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_144_m%C2%B2_%C3%A0_Tanger_55403393.htm
appartement bien à vendre,Agadir,600000.0,2,1,64.0,Vendre,Tassila,1,3,1-5 ans,https://www.avito.ma/fr/tassila/appartements/appartement_bien_%C3%A0_vendre__55737584.htm
appartement,Casablanca,830000.0,2,1,56.0,Vendre,Sidi Bernoussi,1,1,1-5 ans,https://www.avito.ma/fr/sidi_bernoussi/appartements/appartement__55737585.htm
Appartement à vendre 185 m² à Tanger,Tanger,830000.0,3,3,183.0,Vendre,Centre ville,2,1,-1 ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_185_m%C2%B2_%C3%A0_Tanger_53725203.htm
Appartement à vendre roches noires à Casablanca,Casablanca,1044000.0,3,2,81.0,Vendre,Roches Noires,1,2,6-10 ans,https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_vendre_roches_noires_%C3%A0_Casablanca_55723042.htm
Appartement à vendre 50 m² à Casablanca,Casablanca,830000.0,2,1,50.0,Vendre,Errahma,1,2,1-5 ans,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55737578.htm
appartement sur beuséjour à vendre,Casablanca,1300000.0,3,2,130.0,Vendre,Beauséjour,1,2,21+ ans,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/appartement_sur_beus%C3%A9jour_%C3%A0_vendre_55737571.htm
Appartement terrasse 210m² Belvédère,Casablanca,1550000.0,4,2,210.0,Vendre,Belvédère,1,7,21+ ans,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_terrasse_210m%C2%B2_Belv%C3%A9d%C3%A8re__54065530.htm
appartement à ne pas rater,Marrakech,700000.0,2,2,63.0,Vendre,Mabrouka,1,1,1-5 ans,https://www.avito.ma/fr/mabrouka/appartements/appartement_%C3%A0_ne_pas_rater_54429115.htm
Appartement à vendre 50 m² Casaport,Casablanca,1300000.0,1,1,50.0,Vendre,Sidi Belyout,1,2,1-5 ans,https://www.avito.ma/fr/sidi_belyout/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_Casaport_55737628.htm
Appartement de standing bd ibnou tachfine,Urgent,950000.0,2,1,101.0,Vendre,Aïn Borja,2,2,-1 ans,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_de_standing_bd_ibnou_tachfine_54727876.htm
Appartement 67 m² à Tanger,Tanger,830000.0,1,2,67.0,Vendre,manar,1,2,-1 ans,https://www.avito.ma/fr/manar/appartements/Appartement_67_m%C2%B2_%C3%A0_Tanger_53961997.htm
Appartement à vendre 144 m² à Tanger,Tanger,11000.0,3,2,144.0,Vendre,Autre secteur,1,3,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_144_m%C2%B2_%C3%A0_Tanger_55403393.htm
appartement bien à vendre,Agadir,600000.0,2,1,64.0,Vendre,Tassila,1,3,1-5 ans,https://www.avito.ma/fr/tassila/appartements/appartement_bien_%C3%A0_vendre__55737584.htm
appartement,Casablanca,830000.0,2,1,56.0,Vendre,Sidi Bernoussi,1,1,1-5 ans,https://www.avito.ma/fr/sidi_bernoussi/appartements/appartement__55737585.htm
Appartement à vendre 185 m² à Tanger,Tanger,830000.0,3,3,183.0,Vendre,Centre ville,2,1,-1 ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_%C3%A0_vendre_185_m%C2%B2_%C3%A0_Tanger_53725203.htm
Appartement à vendre roches noires à Casablanca,Casablanca,1044000.0,3,2,81.0,Vendre,Roches Noires,1,2,6-10 ans,https://www.avito.ma/fr/roches_noires/appartements/Appartement_%C3%A0_vendre_roches_noires_%C3%A0_Casablanca_55723042.htm
Appartement à vendre 50 m² à Casablanca,Casablanca,830000.0,2,1,50.0,Vendre,Errahma,1,2,1-5 ans,https://www.avito.ma/fr/errahma/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55737578.htm
appartement sur beuséjour à vendre,Casablanca,1300000.0,3,2,130.0,Vendre,Beauséjour,1,2,21+ ans,https://www.avito.ma/fr/beaus%C3%A9jour/appartements/appartement_sur_beus%C3%A9jour_%C3%A0_vendre_55737571.htm
Appartement terrasse 210m² Belvédère,Casablanca,1550000.0,4,2,210.0,Vendre,Belvédère,1,7,21+ ans,https://www.avito.ma/fr/belv%C3%A9d%C3%A8re/appartements/Appartement_terrasse_210m%C2%B2_Belv%C3%A9d%C3%A8re__54065530.htm
Appartement à vendre à Marrakech,Marrakech,830000.0,3,2,96.33530571992111,Vendre,M'Hamid,1,3,-1 ans,https://www.avito.ma/fr/m'hamid/appartements/Appartement_%C3%A0_vendre_%C3%A0_Marrakech_55737561.htm
Appartement à vendre 50 m² à Casablanca,Casablanca,400000.0,2,1,50.0,Vendre,Oulfa,1,3,6-10 ans,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55737555.htm
appartement,Salé,320000.0,1,1,37.0,Vendre,Sala El Jadida,1,3,11-20 ans,https://www.avito.ma/fr/sala_el_jadida/appartements/appartement__55737552.htm
Appartement à vendre 109 m² à oulfa/lissasfa,Casablanca,945000.0,3,2,109.0,Vendre,Oulfa,2,3,6-10 ans,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_109_m%C2%B2_%C3%A0_oulfa_lissasfa_55649716.htm
Appartement à vendre 172 m² à Marrakech,Marrakech,830000.0,3,0,172.0,Vendre,Victor Hugo,0,2,-1 ans,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_%C3%A0_vendre_172_m%C2%B2_%C3%A0_Marrakech_55737547.htm
CMN-MA-1342 - Appartement à vendre à Bachkou,Casablanca,1390000.0,2,1,105.0,Vendre,Bachkou,0,5,-1 ans,https://www.avito.ma/fr/bachkou/appartements/CMN_MA_1342___Appartement_%C3%A0_vendre_%C3%A0_Bachkou_54603815.htm
CMN-MA-1698 - Appartement à vendre à 2 Mars,Casablanca,1440000.0,2,2,80.0,Vendre,2 Mars,0,3,-1 ans,https://www.avito.ma/fr/2_mars/appartements/CMN_MA_1698___Appartement_%C3%A0_vendre_%C3%A0_2_Mars_55549534.htm
CMN-ME-1153 - Appartement à vendre à La Gironde,Casablanca,980000.0,2,1,94.0,Vendre,La Gironde,0,4,-1 ans,https://www.avito.ma/fr/la_gironde/appartements/CMN_ME_1153___Appartement_%C3%A0_vendre_%C3%A0_La_Gironde_54562088.htm
Appartement à vendre 110 m² à Rabat,Rabat,1600000.0,3,2,110.0,Vendre,Diour Jamaa,1,2,21+ ans,https://www.avito.ma/fr/diour_jamaa/appartements/Appartement_%C3%A0_vendre_110_m%C2%B2_%C3%A0_Rabat_55699144.htm
Appartement deux façade Camélia luxe,Meknès,830000.0,3,2,100.0,Vendre,Marjane 2,2,1,-1 ans,https://www.avito.ma/fr/marjane_2/appartements/Appartement_deux_fa%C3%A7ade_Cam%C3%A9lia_luxe_55737520.htm
RAK-GU-1126 - Appartement à vendre à Izdihar,Marrakech,690000.0,2,1,68.0,Vendre,Hay Izdihar,0,3,-1 ans,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1126___Appartement_%C3%A0_vendre_%C3%A0_Izdihar_55656281.htm
très jolie appartement a coté du TRAM ANASSI,Casablanca,400000.0,2,2,75.0,Vendre,Sidi Moumen,1,4,11-20 ans,https://www.avito.ma/fr/sidi_moumen/appartements/tr%C3%A8s_jolie_appartement_a_cot%C3%A9_du_TRAM_ANASSI_55737488.htm
Bel Appartement 59m² à AinSbaa Casablanca,Casablanca,620000.0,2,1,59.0,Vendre,Ain Sebaa,1,3,6-10 ans,https://www.avito.ma/fr/ain_sebaa/appartements/Bel_Appartement_59m%C2%B2_%C3%A0_AinSbaa_Casablanca_55737484.htm
Appartement 59M2 2chambres sans vis à vis CIL,Casablanca,820000.0,2,1,59.0,Vendre,C.I.L,1,3,21+ ans,https://www.avito.ma/fr/c.i.l/appartements/Appartement_59M2_2chambres_sans_vis_%C3%A0_vis_CIL_55629461.htm
CMN-MA-1473 - Appartement à vendre à Maârif,Casablanca,900000.0,1,1,53.0,Vendre,Maârif Extension,0,4,-1 ans,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/CMN_MA_1473___Appartement_%C3%A0_vendre_%C3%A0_Ma%C3%A2rif_54916665.htm
TEM-TE-1005 - Appartement à vendre à Centre ville,Skhirat,1400000.0,3,1,121.0,Vendre,Autre secteur,0,3,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/TEM_TE_1005___Appartement_%C3%A0_vendre_%C3%A0_Centre_ville_55607541.htm
Appartement 175 m² à centre ville,Tanger,2275000.0,3,2,175.0,Vendre,Centre ville,2,6,-1 ans,https://www.avito.ma/fr/centre_ville/appartements/Appartement_175_m%C2%B2_%C3%A0_centre_ville__54961624.htm
Belle appartement vue mer 157m2,Tanger,830000.0,3,1,157.0,Vendre,Malabata,1,6,-1 ans,https://www.avito.ma/fr/malabata/appartements/Belle_appartement_vue_mer_157m2__55354608.htm
appartement sfliya babha bouhdou fih da3m 7mlyon,Had Soualem,540000.0,3,2,90.0,Vendre,Toute la ville,1,0,-1 ans,https://www.avito.ma/fr/had_soualem/appartements/appartement_sfliya_babha_bouhdou__fih_da3m_7mlyon__53413437.htm
Appartement à vendre 65 m² à gzenaya,Tanger,3800000.0,2,1,65.0,Vendre,Autre secteur,1,1,-1 ans,https://www.avito.ma/fr/autre_secteur/appartements/Appartement_%C3%A0_vendre_65_m%C2%B2_%C3%A0_gzenaya__55073537.htm
Appartement à vendre 90m² à Casablanca,Casablanca,830000.0,2,2,90.0,Vendre,Aïn Borja,1,4,-1 ans,https://www.avito.ma/fr/a%C3%AFn_borja/appartements/Appartement_%C3%A0_vendre_90m%C2%B2_%C3%A0_Casablanca_55726518.htm
Appartement à vendre 100 m² à Dar Bouazza,Dar Bouazza,830000.0,3,2,100.0,Vendre,Toute la ville,1,1,-1 ans,https://www.avito.ma/fr/dar_bouazza/appartements/Appartement_%C3%A0_vendre_100_m%C2%B2_%C3%A0_Dar_Bouazza_54833290.htm
Resdnce avec mer et picine,Asilah,830000.0,2,2,100.0,Vendre,Toute la ville,2,2,-1 ans,https://www.avito.ma/fr/asilah/appartements/Resdnce_avec_mer_et_picine__55234259.htm
Appartement à vendre 50 m² à Casablanca,Casablanca,400000.0,2,1,50.0,Vendre,Oulfa,1,3,6-10 ans,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_50_m%C2%B2_%C3%A0_Casablanca_55737555.htm
appartement,Salé,320000.0,1,1,37.0,Vendre,Sala El Jadida,1,3,11-20 ans,https://www.avito.ma/fr/sala_el_jadida/appartements/appartement__55737552.htm
Appartement à vendre 109 m² à oulfa/lissasfa,Casablanca,945000.0,3,2,109.0,Vendre,Oulfa,2,3,6-10 ans,https://www.avito.ma/fr/oulfa/appartements/Appartement_%C3%A0_vendre_109_m%C2%B2_%C3%A0_oulfa_lissasfa_55649716.htm
Appartement à vendre 172 m² à Marrakech,Marrakech,830000.0,3,0,172.0,Vendre,Victor Hugo,0,2,-1 ans,https://www.avito.ma/fr/victor_hugo/appartements/Appartement_%C3%A0_vendre_172_m%C2%B2_%C3%A0_Marrakech_55737547.htm
CMN-MA-1342 - Appartement à vendre à Bachkou,Casablanca,1390000.0,2,1,105.0,Vendre,Bachkou,0,5,-1 ans,https://www.avito.ma/fr/bachkou/appartements/CMN_MA_1342___Appartement_%C3%A0_vendre_%C3%A0_Bachkou_54603815.htm
Appartement à vendre 110 m² à Rabat,Rabat,1600000.0,3,2,110.0,Vendre,Diour Jamaa,1,2,21+ ans,https://www.avito.ma/fr/diour_jamaa/appartements/Appartement_%C3%A0_vendre_110_m%C2%B2_%C3%A0_Rabat_55699144.htm
Appartement deux façade Camélia luxe,Meknès,830000.0,3,2,100.0,Vendre,Marjane 2,2,1,-1 ans,https://www.avito.ma/fr/marjane_2/appartements/Appartement_deux_fa%C3%A7ade_Cam%C3%A9lia_luxe_55737520.htm
RAK-GU-1126 - Appartement à vendre à Izdihar,Marrakech,690000.0,2,1,68.0,Vendre,Hay Izdihar,0,3,-1 ans,https://www.avito.ma/fr/hay_izdihar/appartements/RAK_GU_1126___Appartement_%C3%A0_vendre_%C3%A0_Izdihar_55656281.htm
très jolie appartement a coté du TRAM ANASSI,Casablanca,400000.0,2,2,75.0,Vendre,Sidi Moumen,1,4,11-20 ans,https://www.avito.ma/fr/sidi_moumen/appartements/tr%C3%A8s_jolie_appartement_a_cot%C3%A9_du_TRAM_ANASSI_55737488.htm
Bel Appartement 59m² à AinSbaa Casablanca,Casablanca,620000.0,2,1,59.0,Vendre,Ain Sebaa,1,3,6-10 ans,https://www.avito.ma/fr/ain_sebaa/appartements/Bel_Appartement_59m%C2%B2_%C3%A0_AinSbaa_Casablanca_55737484.htm
Appartement 59M2 2chambres sans vis à vis CIL,Casablanca,820000.0,2,1,59.0,Vendre,C.I.L,1,3,21+ ans,https://www.avito.ma/fr/c.i.l/appartements/Appartement_59M2_2chambres_sans_vis_%C3%A0_vis_CIL_55629461.htm
CMN-MA-1473 - Appartement à vendre à Maârif,Casablanca,900000.0,1,1,53.0,Vendre,Maârif Extension,0,4,-1 ans,https://www.avito.ma/fr/ma%C3%A2rif_extension/appartements/CMN_MA_1473___Appartement_%C3%A0_vendre_%C3%A0_Ma%C3%A2rif_54916665.htm
